id,neighbourhood_cleansed,latitude,longitude,calculated_host_listings_count,price,property_type,room_type,availability_365,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,instant_bookable,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,Standardization_Category,Standardization_Score,Neighborhood_Category,Neighborhood_Impact
1059605941818495141,Élysée,48.87184,2.29837,25,,2,3,360,2,0.64,0,1,4,2.0,1.0,252,0,1,5.0,5.0,5.0,5.0,1.0,,,,
1060791226302168804,Élysée,48.8702,2.32162,1,,2,3,269,0,1.0,0,1,2,1.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1060798762872788178,Élysée,48.86902,2.3033,141,,2,3,33,4,1.0,0,1,4,2.0,1.0,1,1,2,2.5,3.0,2.5,3.5,0.11,,,,
1058589914478201069,Élysée,48.88121,2.32211,1,,2,3,269,0,1.0,0,1,4,2.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1060910354255621958,Élysée,48.8767348,2.3115636,1,,2,3,0,0,1.0,0,1,6,3.0,1.0,3,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1060061150476077454,Élysée,48.87775,2.3093,1,,2,3,263,0,1.0,0,0,4,2.0,1.0,7,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1060076206364819456,Élysée,48.86763142894757,2.32421589253067,121,,2,3,329,4,1.0,0,1,6,2.0,1.0,3,1,25,4.44,4.6,4.96,5.0,1.3,,,,
1060992288100601956,Élysée,48.878058,2.302372,20,,2,3,0,4,0.88,0,1,4,1.0,1.0,30,0,1,5.0,5.0,5.0,5.0,0.07,,,,
1061374652986152066,Élysée,48.8751457,2.3040101,2,,2,3,66,3,0.8,0,1,2,1.0,1.0,4,0,17,4.76,4.71,4.82,4.82,0.87,,,,
1061427710674610309,Élysée,48.87992,2.32616,19,,2,3,217,4,0.98,0,1,4,1.0,1.0,1,1,48,4.27,4.46,4.54,4.6,2.42,,,,
1062381244541642082,Élysée,48.8754611,2.3065152,1,,2,3,256,0,1.0,0,1,2,1.0,1.0,3,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1062029016198078232,Élysée,48.8749161,2.3159379,816,,2,3,82,2,0.87,0,1,2,1.0,1.0,31,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1063872035868113541,Élysée,48.8659449,2.3046889,4,,2,3,0,0,1.0,1,1,2,1.0,1.0,30,0,31,5.0,5.0,5.0,5.0,1.74,,,,
1064460912337052596,Élysée,48.8704396,2.3006321,9,,2,3,263,1,0.33,0,1,6,3.0,1.0,7,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1064482627733047485,Élysée,48.87361,2.31683,5,,2,3,48,4,1.0,0,1,6,3.0,1.0,3,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1065351887620893488,Élysée,48.87028026674888,2.303133057052252,1,,2,3,13,0,1.0,0,0,2,1.0,1.0,90,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1065576834159517742,Élysée,48.869233,2.32029,1,,2,3,266,4,1.0,1,1,5,1.0,1.0,3,0,19,5.0,4.63,5.0,5.0,1.33,,,,
1066083933546044606,Élysée,48.8793686,2.325909,2,,2,3,260,3,0.9,0,1,4,2.0,1.0,2,0,18,4.44,4.61,4.94,4.78,1.32,,,,
1064979033175941054,Élysée,48.87524753516001,2.3169401649414247,2,,2,3,15,4,1.0,0,0,4,2.0,1.0,3,0,9,4.67,4.78,4.67,4.78,0.66,,,,
1067336010480938571,Élysée,48.87537,2.3183265,7,,3,2,49,4,1.0,1,1,1,1.0,1.0,1,1,7,4.71,4.86,4.86,4.86,0.35,,,,
1067344699829870447,Élysée,48.87537,2.3183265,7,,3,2,251,4,1.0,1,1,3,1.0,1.0,1,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1066689393962355267,Élysée,48.877678,2.3003398,10,,2,3,16,4,1.0,0,1,8,3.0,1.0,5,0,8,4.88,5.0,5.0,5.0,0.42,,,,
1068858031561879193,Élysée,48.8771673,2.2997451,1,,2,3,104,3,1.0,0,1,6,3.0,1.0,4,0,9,5.0,5.0,5.0,5.0,3.0,,,,
1068886773852187071,Élysée,48.8791463,2.3151734,1,,2,3,12,0,1.0,0,1,6,3.0,1.0,5,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1069404020425415356,Élysée,48.87537,2.3183265,7,,3,2,196,4,1.0,1,1,4,1.0,1.0,1,1,3,4.67,5.0,5.0,4.67,0.15,,,,
1070239827176548235,Élysée,48.8795235,2.3157431,1,,2,3,269,0,1.0,0,1,6,3.0,1.0,30,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1070249817446805997,Élysée,48.87208408104658,2.31595442308147,5,,2,3,0,4,1.0,0,1,4,2.0,1.0,3,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1070263506549184122,Élysée,48.87286716874848,2.296898413043843,1,,2,3,267,0,1.0,0,1,2,1.0,1.0,4,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1069575562185159114,Élysée,48.87428,2.29635,1,,2,3,223,2,0.67,0,1,3,1.0,1.0,1,0,1,5.0,5.0,5.0,5.0,0.05,,,,
1069645539875141665,Élysée,48.87775,2.31302,1,,2,3,0,4,1.0,1,1,1,1.0,1.0,3,0,25,4.68,4.68,4.92,5.0,1.37,,,,
